defined_class	defined_class_label	cell_type	cell_type_label
http://purl.obolibrary.org/obo/GO_0002299	alpha-beta intraepithelial T cell differentiation	http://purl.obolibrary.org/obo/CL_0000797	alpha-beta intraepithelial T cell
http://purl.obolibrary.org/obo/GO_0035881	amacrine cell differentiation	http://purl.obolibrary.org/obo/CL_0000561	amacrine cell
http://purl.obolibrary.org/obo/GO_0036305	ameloblast differentiation	http://purl.obolibrary.org/obo/CL_0000059	ameloblast
http://purl.obolibrary.org/obo/GO_0097086	amniotic stem cell differentiation	http://purl.obolibrary.org/obo/CL_0002639	amniotic stem cell
http://purl.obolibrary.org/obo/GO_0035779	angioblast cell differentiation	http://purl.obolibrary.org/obo/CL_0000566	angioblastic mesenchymal cell
http://purl.obolibrary.org/obo/GO_0048913	anterior lateral line nerve glial cell differentiation	http://purl.obolibrary.org/obo/CL_1000239	anterior lateral line nerve glial cell
http://purl.obolibrary.org/obo/GO_0048903	anterior lateral line neuromast hair cell differentiation	http://purl.obolibrary.org/obo/CL_2000034	anterior lateral line neuromast hair cell
http://purl.obolibrary.org/obo/GO_0048905	anterior lateral line neuromast mantle cell differentiation	http://purl.obolibrary.org/obo/CL_2000035	anterior lateral line neuromast mantle cell
http://purl.obolibrary.org/obo/GO_0048906	anterior lateral line neuromast support cell differentiation	http://purl.obolibrary.org/obo/CL_2000036	anterior lateral line neuromast supporting cell
http://purl.obolibrary.org/obo/GO_0035887	aortic smooth muscle cell differentiation	http://purl.obolibrary.org/obo/CL_0002539	aortic smooth muscle cell
http://purl.obolibrary.org/obo/GO_0060842	arterial endothelial cell differentiation	http://purl.obolibrary.org/obo/CL_1000413	endothelial cell of artery
http://purl.obolibrary.org/obo/GO_0048708	astrocyte differentiation	http://purl.obolibrary.org/obo/CL_0000127	astrocyte
http://purl.obolibrary.org/obo/GO_0055011	atrial cardiac muscle cell differentiation	http://purl.obolibrary.org/obo/CL_0002129	regular atrial cardiac myocyte
