defined_class	defined_class_label	input1	input1_label	input2	input2_label
http://purl.obolibrary.org/obo/GO_0015527	glycerol-phosphate:phosphate antiporter activity	http://purl.obolibrary.org/obo/CHEBI_26707	glycerol phosphate	http://purl.obolibrary.org/obo/CHEBI_43474	hydrogenphosphate
http://purl.obolibrary.org/obo/GO_0015527	glycerol-phosphate:phosphate antiporter activity	http://purl.obolibrary.org/obo/CHEBI_43474	hydrogenphosphate	http://purl.obolibrary.org/obo/CHEBI_26707	glycerol phosphate
http://purl.obolibrary.org/obo/GO_0051407	glycerone phosphate:phosphate antiporter activity	http://purl.obolibrary.org/obo/CHEBI_43474	hydrogenphosphate	http://purl.obolibrary.org/obo/CHEBI_57642	glycerone phosphate(2-)
http://purl.obolibrary.org/obo/GO_0051407	glycerone phosphate:phosphate antiporter activity	http://purl.obolibrary.org/obo/CHEBI_57642	glycerone phosphate(2-)	http://purl.obolibrary.org/obo/CHEBI_43474	hydrogenphosphate
http://purl.obolibrary.org/obo/GO_0140799	glycine:proton antiporter activity	http://purl.obolibrary.org/obo/CHEBI_15378	hydron	http://purl.obolibrary.org/obo/CHEBI_57305	glycine zwitterion
http://purl.obolibrary.org/obo/GO_0140799	glycine:proton antiporter activity	http://purl.obolibrary.org/obo/CHEBI_57305	glycine zwitterion	http://purl.obolibrary.org/obo/CHEBI_15378	hydron
http://purl.obolibrary.org/obo/GO_0015526	hexose-phosphate:phosphate antiporter activity	http://purl.obolibrary.org/obo/CHEBI_43474	hydrogenphosphate	http://purl.obolibrary.org/obo/CHEBI_47878	hexose phosphate
http://purl.obolibrary.org/obo/GO_0015526	hexose-phosphate:phosphate antiporter activity	http://purl.obolibrary.org/obo/CHEBI_47878	hexose phosphate	http://purl.obolibrary.org/obo/CHEBI_43474	hydrogenphosphate
http://purl.obolibrary.org/obo/GO_0070907	histidine:histamine antiporter activity	http://purl.obolibrary.org/obo/CHEBI_27570	histidine	http://purl.obolibrary.org/obo/CHEBI_58432	histaminium
http://purl.obolibrary.org/obo/GO_0070907	histidine:histamine antiporter activity	http://purl.obolibrary.org/obo/CHEBI_58432	histaminium	http://purl.obolibrary.org/obo/CHEBI_27570	histidine
